period,n,k,occ,words,rate,lo,hi,per_100k_words
pre-1990,368842,58577,79298,1007802806,0.15881325879373823,0.15763723833782878,0.1599963863000042,7.868404367193238
1990-2004,257715,54071,77009,758723721,0.20980928545098268,0.2082415734306163,0.21138564873364785,10.14980787716798
2005-2014,180721,35908,53129,517241685,0.19869301298686926,0.19685974515853638,0.20053909035384734,10.271600596150714
2015-2026,120976,27054,41345,386903797,0.22363113344795663,0.22129188389800103,0.2259879346598041,10.686118957886578
