type_group,n,k,occ,words,rate,lo,hi,per_100k_words
majority/lead,864804,169373,242822,2538982806,0.1958513142862429,0.19501623795681777,0.19668909275950808,9.563751256061087
other,1664,101,126,1788638,0.060697115384615384,0.05020489497233544,0.0732130603059116,7.044466236320597
separate,61786,6136,7833,129900565,0.09931052341954488,0.09697709225332016,0.10169377794356997,6.029996867219169
