n_train,h1_acc_mean,h1_acc_sd,beats_lexical,lexical
30,0.8574561403508771,0.04739075172143488,0.16666666666666666,0.8947368421052632
45,0.8728070175438596,0.021034348786459312,0.0,0.8947368421052632
60,0.9122807017543861,0.029093199915398233,0.4166666666666667,0.8947368421052632
80,0.9276315789473685,0.028676966733820204,0.75,0.8947368421052632
100,0.9232456140350878,0.016844617868132895,0.8333333333333334,0.8947368421052632
120,0.9473684210526315,0.0,1.0,0.8947368421052632
