item_id
932059-2
185764-0
c706847-0
2511566-0
786064-0
475065-0
6930225-0
185281-1
502473-1
508836-0
c11312058-0
386299-0
c3000786-0
9477147-0
200620-0
c8679229-1
778719-0
1550847-0
286579-1
r9778225-0
38074-0
r2796985-0
8882596-0
74447-0
469164-0
9453371-1
9435582-0
c281160-0
2804418-0
r4664546-0
r11172532-0
211051-0
4154863-1
106088-0
c432099-0
c3009440-1
c265277-0
6350015-0
r8794503-0
204313-0
1191028-1
279368-2
r1492045-0
291677-0
629193-0
c690790-1
423506-2
9472077-0
315722-0
c4880145-0
c804322-1
7249427-0
769389-0
542283-1
217956-0
c2967180-1
10823099-0
8407925-0
8413575-0
512429-0
8415381-0
r210540-0
1356581-0
8413911-0
4662322-0
c7214151-0
c2977738-0
8828385-0
4307292-0
195480-0
585779-0
4402820-0
1030942-1
219026-0
r145835-0
r790791-0
415395-0
7262675-1
r96745-0
770562-0
495062-0
c498414-1
4413321-0
8413806-0
544632-0
r9475153-0
9001894-2
762173-0
2677472-0
290434-0
9402795-0
8910458-1
478991-1
934741-0
c4217699-0
66467-0
27007-2
111278-0
795344-0
r2685918-0
134737-0
r553177-0
r111029-0
203886-1
9554892-0
187097-0
7862471-0
r4018877-0
c7023573-1
3032287-0
8961628-0
221597-0
c578561-1
2709092-0
9812705-0
11313507-5
212170-0
4708661-5
c384583-0
433865-0
c9435356-1
1479136-0
r3176265-0
c902271-1
c182312-0
r6216996-0
396563-1
r781807-0
11297434-0
c2709687-0
4644736-0
c277137-0
6987795-0
686469-0
603276-0
492677-3
3149040-0
380955-0
c8914028-1
4392144-0
r280183-0
3041089-0
c460378-0
6933422-1
42259-0
798135-0
214486-1
9394447-0
4568939-8
9806863-0
76043-0
c394134-0
748421-0
796166-6
8409960-1
4436721-0
6496267-0
213517-0
c3012953-0
c9495731-1
353217-0
807765-1
c103645-0
2708641-0
4290182-0
11298802-0
77656-0
4283538-0
c10464412-0
1012062-0
c791589-0
9835631-1
9415903-0
c4566917-0
474821-0
8949935-0
r9415230-0
606071-1
4014574-0
205784-0
c537166-1
c10755430-0
r470060-0
422176-0
4282682-2
442852-0
781275-0
4194816-0
202937-0
c802371-1
1433527-0
11345617-0
c118376-0
r399131-0
10787320-0
716755-1
3165442-0
c3032215-1
118059-0
4284430-0
3020641-0
504362-0
229017-0
768969-0
499132-0
8916546-0
c252597-0
158241-0
c2976911-0
1023355-0
605646-1
184545-0
107951-0
391083-1
2837800-0
9001962-0
145679-0
357271-0
706938-0
201510-0
c588162-1
c9434573-0
8463040-0
9908470-0
3026097-0
3033696-0
216307-0
317141-0
c186398-1
9600755-0
668213-0
264655-0
182725-0
c455983-0
c739077-0
280531-0
1394920-0
10007456-0
4675313-0
6902497-0
6838739-0
200122-0
c2968486-0
c8415026-0
c10516289-0
3054252-0
4348868-0
c9423471-0
r8975142-0
c784542-0
148155-1
5122084-0
r662485-0
c771677-0
c9499197-0
186687-1
9430708-0
8959835-0
c2648502-1
996601-0
