precedential_status,n,k,occ,words,rate,lo,hi,per_100k_words
Errata,104,3,3,88581,0.028846153846153848,0.00985800429174215,0.08140176930212145,3.386730788769601
In-chambers,15,0,0,11894,0.0,-2.2096511667503485e-17,0.20388926630434784,0.0
Published,767586,160008,231646,2488819409,0.2084561208776606,0.20754884584160882,0.20936631412577134,9.307465184590257
Relating-to,552,21,29,913548,0.03804347826086957,0.025015189973502702,0.0574572266286372,3.1744363733487453
Unknown,3291,1139,1851,16790589,0.34609541172895775,0.3300298298005845,0.3625198818456446,11.024032569673404
Unpublished,156706,14439,17252,164047988,0.09214069659106862,0.09071866019542735,0.09358272959042002,10.516434983646372
